generation,mean,ci
1,0.7776719576719576,0.02627030233601612
2,0.7662433862433863,0.03469270387000191
3,0.7691005291005291,0.032536730369535756
4,0.7700793650793651,0.032596702428678015
5,0.7739417989417989,0.03384294158524257
6,0.7796560846560846,0.029868071265041696
7,0.7777513227513227,0.03157058387544049
8,0.7853703703703704,0.02846818430493576
9,0.7920370370370371,0.029981277319947274
10,0.7996560846560847,0.02927108896445653
11,0.7939417989417988,0.03110140823577195
12,0.7910846560846561,0.03152890332616359
13,0.7863227513227513,0.031816059042243404
14,0.7929894179894179,0.030311533356858922
15,0.7939417989417988,0.03201517073930005
16,0.7967989417989417,0.031215487533218525
17,0.7977513227513227,0.029136459737447187
18,0.7996560846560847,0.027493052095628544
19,0.8025132275132274,0.025925684545491903
20,0.8034656084656084,0.025980597017940848
21,0.810132275132275,0.022538524125808274
22,0.8082539682539682,0.022746842900214986
23,0.8063492063492064,0.02508468642087897
24,0.813015873015873,0.025950295570873447
25,0.8083333333333333,0.02884853405017396
26,0.8073809523809523,0.028945207604728424
27,0.8148412698412699,0.029653746283620344
28,0.8129100529100529,0.031770678115061186
29,0.8138624338624337,0.03200033335524771
30,0.8157407407407405,0.032438975174229646
31,0.8148677248677247,0.03217907135502579
32,0.811031746031746,0.032732955304881094
33,0.8129629629629629,0.03239944627629388
34,0.8139153439153438,0.032624471116092416
35,0.8139153439153438,0.032624471116092416
36,0.81010582010582,0.03214378745195255
37,0.8091798941798941,0.03221230918696917
38,0.8082275132275131,0.03372170125621279
39,0.811084656084656,0.03290872289199477
40,0.8129629629629629,0.032094723457729096
41,0.8063227513227512,0.03168358837758146
42,0.8053703703703703,0.03221438136571087
43,0.8063227513227512,0.032135440779444906
44,0.8063227513227512,0.031797153455652497
45,0.8146825396825397,0.03198659920553656
46,0.8156084656084656,0.03157435867633517
47,0.8146825396825397,0.031122797932649306
48,0.8128571428571427,0.03266184723920767
49,0.8157142857142856,0.03396036822393013
50,0.8157142857142856,0.03396036822393013
51,0.8204761904761905,0.03041406618927269
52,0.8204761904761905,0.03041406618927269
53,0.8204761904761905,0.03041406618927269
54,0.8242857142857143,0.030985483264317736
55,0.8233333333333334,0.03031910397494657
56,0.8233333333333334,0.03031910397494657
57,0.8252380952380952,0.029143075857591322
58,0.829047619047619,0.02816180296613466
59,0.829047619047619,0.02816180296613466
60,0.829074074074074,0.02859703182870632
61,0.83,0.027705859594712723
62,0.8309523809523809,0.028149000457621247
63,0.8309523809523809,0.028149000457621247
64,0.8290476190476189,0.02816180296613466
65,0.8290476190476189,0.02816180296613466
66,0.8242857142857143,0.029434344444771134
67,0.8233333333333331,0.029352589368320307
68,0.8242857142857143,0.028940349881855856
69,0.8242857142857143,0.028940349881855856
70,0.8252380952380951,0.028644058525846627
71,0.8233333333333331,0.030080386883134056
72,0.8242857142857143,0.029920184065319936
73,0.8242857142857143,0.029920184065319936
74,0.8233333333333331,0.030790986464431708
75,0.8242857142857143,0.029920184065319936
76,0.8280952380952381,0.02971871613700913
77,0.827142857142857,0.030136256672433002
78,0.8261904761904761,0.030425915626414432
79,0.8261904761904761,0.030425915626414432
80,0.8233333333333331,0.03159982935505995
81,0.8233333333333331,0.03159982935505995
82,0.8214285714285713,0.03177803677698131
83,0.8223809523809523,0.03151987910013773
84,0.8252380952380951,0.03140531138334725
85,0.8261904761904761,0.031128628529369602
86,0.827142857142857,0.03096220815838003
87,0.829047619047619,0.03142825833808581
88,0.8338095238095238,0.03199658417983011
89,0.8357142857142856,0.03194772941075195
90,0.8347619047619048,0.03236621300066692
91,0.8356878306878308,0.031667256266310256
92,0.8338095238095238,0.032221107832933873
93,0.831031746031746,0.031731120174245606
94,0.8319841269841269,0.03188944708728658
95,0.8329365079365079,0.03193055247936647
96,0.8329365079365079,0.03193055247936647
97,0.8300793650793651,0.03179574222727266
98,0.8309788359788359,0.030924104411755783
99,0.8310317460317459,0.031503104556659466
100,0.8310317460317459,0.031503104556659466
101,0.8310317460317459,0.031503104556659466
