generation,mean,ci
1,0.4129148629148629,0.03638155234178614
2,0.419047619047619,0.03825521796639067
3,0.4145021645021645,0.03849465478696491
4,0.4145743145743145,0.03924561131274433
5,0.4176046176046176,0.039173961636611236
6,0.4176046176046176,0.039173961636611236
7,0.4144300144300144,0.039548595845062484
8,0.4144300144300144,0.03411129692100293
9,0.4144300144300144,0.03411129692100293
10,0.40685425685425686,0.036104600231935596
11,0.4067821067821067,0.03383618348299709
12,0.4036075036075035,0.034136153214108685
13,0.3956709956709956,0.03397801703421996
14,0.3956709956709956,0.03397801703421996
15,0.3865800865800866,0.0349387186088825
16,0.39105339105339104,0.03298002600783251
17,0.39105339105339104,0.03298002600783251
18,0.3891774891774891,0.031099849137968146
19,0.3891774891774891,0.031099849137968146
20,0.3891774891774891,0.031099849137968146
21,0.3891774891774891,0.031099849137968146
22,0.3891774891774891,0.031099849137968146
23,0.38614718614718613,0.030822018990469983
24,0.3942279942279942,0.03503399725896329
25,0.3942279942279942,0.03503399725896329
26,0.3972582972582972,0.03518660415322682
27,0.3972582972582972,0.03518660415322682
28,0.3972582972582972,0.03518660415322682
29,0.40028860028860025,0.03371797622388416
30,0.40331890331890335,0.03326048000506871
31,0.40331890331890335,0.03326048000506871
32,0.40331890331890335,0.03326048000506871
33,0.40331890331890335,0.03326048000506871
34,0.40331890331890335,0.03326048000506871
35,0.40331890331890335,0.03326048000506871
36,0.40331890331890335,0.03326048000506871
37,0.40331890331890335,0.03326048000506871
38,0.40331890331890335,0.03326048000506871
39,0.40331890331890335,0.03326048000506871
40,0.4096681096681097,0.033814165811280224
41,0.4096681096681097,0.033814165811280224
42,0.4096681096681097,0.033814165811280224
43,0.4096681096681097,0.033814165811280224
44,0.4096681096681097,0.033814165811280224
45,0.4064935064935065,0.033558362683923884
46,0.4064935064935065,0.033558362683923884
47,0.4064935064935065,0.033558362683923884
48,0.4064935064935065,0.033558362683923884
49,0.4064935064935065,0.033558362683923884
50,0.4064935064935065,0.033558362683923884
51,0.4064935064935065,0.033558362683923884
52,0.4004329004329004,0.03342345563702029
53,0.4004329004329004,0.03342345563702029
54,0.40800865800865804,0.034242054352964714
55,0.40800865800865804,0.034242054352964714
56,0.40800865800865804,0.034242054352964714
57,0.40800865800865804,0.034242054352964714
58,0.40800865800865804,0.034242054352964714
59,0.40800865800865804,0.034242054352964714
60,0.41103896103896104,0.03423697906604574
61,0.41103896103896104,0.03423697906604574
62,0.41103896103896104,0.03423697906604574
63,0.41897546897546895,0.03675436755069754
64,0.41897546897546895,0.03675436755069754
65,0.41897546897546895,0.03675436755069754
66,0.41594516594516595,0.03584155678085261
67,0.41594516594516595,0.03584155678085261
68,0.41594516594516595,0.03584155678085261
69,0.41594516594516595,0.03584155678085261
70,0.41594516594516595,0.03584155678085261
71,0.41594516594516595,0.03584155678085261
72,0.41594516594516595,0.03584155678085261
73,0.41594516594516595,0.03584155678085261
74,0.41594516594516595,0.03584155678085261
75,0.41594516594516595,0.03584155678085261
76,0.41594516594516595,0.03584155678085261
77,0.41594516594516595,0.03584155678085261
78,0.41594516594516595,0.03584155678085261
79,0.41594516594516595,0.03584155678085261
80,0.41594516594516595,0.03584155678085261
81,0.41594516594516595,0.03584155678085261
82,0.41594516594516595,0.03584155678085261
83,0.41594516594516595,0.03584155678085261
84,0.41594516594516595,0.03584155678085261
85,0.41594516594516595,0.03584155678085261
86,0.41594516594516595,0.03584155678085261
87,0.41594516594516595,0.03584155678085261
88,0.41594516594516595,0.03584155678085261
89,0.41594516594516595,0.03584155678085261
90,0.41594516594516595,0.03584155678085261
91,0.41594516594516595,0.03584155678085261
92,0.41277056277056273,0.03394862727066568
93,0.41277056277056273,0.03394862727066568
94,0.41277056277056273,0.03394862727066568
95,0.41277056277056273,0.03394862727066568
96,0.41277056277056273,0.03394862727066568
97,0.41277056277056273,0.03394862727066568
98,0.41277056277056273,0.03394862727066568
99,0.41277056277056273,0.03394862727066568
100,0.41277056277056273,0.03394862727066568
101,0.41277056277056273,0.03394862727066568
102,0.41277056277056273,0.03394862727066568
103,0.41277056277056273,0.03394862727066568
104,0.41277056277056273,0.03394862727066568
105,0.41277056277056273,0.03394862727066568
106,0.41277056277056273,0.03394862727066568
107,0.41277056277056273,0.03394862727066568
108,0.41277056277056273,0.03394862727066568
109,0.41277056277056273,0.03394862727066568
110,0.41277056277056273,0.03394862727066568
111,0.41277056277056273,0.03394862727066568
112,0.41277056277056273,0.03394862727066568
113,0.41277056277056273,0.03394862727066568
114,0.41277056277056273,0.03394862727066568
115,0.41277056277056273,0.03394862727066568
116,0.41277056277056273,0.03394862727066568
117,0.41277056277056273,0.03394862727066568
118,0.41277056277056273,0.03394862727066568
119,0.41277056277056273,0.03394862727066568
120,0.41277056277056273,0.03394862727066568
121,0.41277056277056273,0.03394862727066568
122,0.41277056277056273,0.03394862727066568
123,0.41277056277056273,0.03394862727066568
124,0.41277056277056273,0.03394862727066568
125,0.41277056277056273,0.03394862727066568
126,0.4175324675324675,0.03434316163556774
127,0.4175324675324675,0.03434316163556774
128,0.4175324675324675,0.03434316163556774
129,0.4175324675324675,0.03434316163556774
130,0.4175324675324675,0.03434316163556774
131,0.4175324675324675,0.03434316163556774
132,0.4175324675324675,0.03434316163556774
133,0.4207070707070707,0.0367097620129949
134,0.4207070707070707,0.0367097620129949
135,0.4207070707070707,0.0367097620129949
136,0.4207070707070707,0.0367097620129949
137,0.4207070707070707,0.0367097620129949
138,0.4207070707070707,0.0367097620129949
139,0.4207070707070707,0.0367097620129949
140,0.4207070707070707,0.0367097620129949
141,0.4222943722943723,0.036886215421603474
142,0.4222943722943723,0.036886215421603474
143,0.4222943722943723,0.036886215421603474
144,0.4222943722943723,0.036886215421603474
145,0.4222943722943723,0.036886215421603474
146,0.4222943722943723,0.036886215421603474
147,0.4222943722943723,0.036886215421603474
148,0.42546897546897544,0.03800841333651594
149,0.42546897546897544,0.03800841333651594
150,0.4302308802308802,0.039187557704364696
151,0.4302308802308802,0.039187557704364696
152,0.4302308802308802,0.039187557704364696
153,0.4302308802308802,0.039187557704364696
154,0.4302308802308802,0.039187557704364696
155,0.4302308802308802,0.039187557704364696
156,0.4302308802308802,0.039187557704364696
157,0.4302308802308802,0.039187557704364696
158,0.4302308802308802,0.039187557704364696
159,0.4302308802308802,0.039187557704364696
160,0.4302308802308802,0.039187557704364696
161,0.4302308802308802,0.039187557704364696
162,0.4302308802308802,0.039187557704364696
163,0.4302308802308802,0.039187557704364696
164,0.4302308802308802,0.039187557704364696
165,0.4413419913419913,0.04477779879584422
166,0.4413419913419913,0.04477779879584422
167,0.4413419913419913,0.04477779879584422
168,0.4413419913419913,0.04477779879584422
169,0.4413419913419913,0.04477779879584422
170,0.4413419913419913,0.04477779879584422
171,0.4429292929292929,0.044376893822174225
172,0.4429292929292929,0.044376893822174225
173,0.4429292929292929,0.044376893822174225
174,0.4429292929292929,0.044376893822174225
175,0.4429292929292929,0.044376893822174225
176,0.4429292929292929,0.044376893822174225
177,0.4429292929292929,0.044376893822174225
178,0.4429292929292929,0.044376893822174225
179,0.4429292929292929,0.044376893822174225
180,0.4429292929292929,0.044376893822174225
181,0.4429292929292929,0.044376893822174225
182,0.4429292929292929,0.044376893822174225
183,0.4429292929292929,0.044376893822174225
184,0.4429292929292929,0.044376893822174225
185,0.4429292929292929,0.044376893822174225
186,0.4429292929292929,0.044376893822174225
187,0.4429292929292929,0.044376893822174225
188,0.4429292929292929,0.044376893822174225
189,0.4429292929292929,0.044376893822174225
190,0.4429292929292929,0.044376893822174225
191,0.4429292929292929,0.044376893822174225
